Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0402_1005Metric,8.27,-32.025,0.0,top
C2,4.7u,C_0402_1005Metric,11.5,-16.2,-90.0,top
C3,100n,C_0402_1005Metric,5.8,-26.05,-90.0,top
C4,100n,C_0402_1005Metric,10.1,-25.5,0.0,top
C5,100n,C_0402_1005Metric,12.975,-14.65,0.0,top
C6,1u,C_0402_1005Metric,5.32,-24.4,0.0,top
C7,22p,C_0402_1005Metric,10.47,-27.15,0.0,top
C8,1u,C_0402_1005Metric,12.92,-12.5,180.0,top
C9,1u,C_0402_1005Metric,12.61,-16.2,90.0,top
C10,100n,C_0402_1005Metric,13.57,-25.5,180.0,top
C11,100n,C_0402_1005Metric,4.21,-25.5,180.0,top
D1,Power LED,LED_0402_1005Metric,14.7,-1.3,-90.0,top
ESD1,SRV05-4,SOT-23-6,8.89,-10.0,180.0,top
F1,500mA,Fuse_0805_2012Metric,3.4,-9.8,90.0,top
R1,22R,R_0402_1005Metric,8.325,-12.9,90.0,top
R2,22R,R_0402_1005Metric,9.425,-12.9,90.0,top
R3,5.1k,R_0402_1005Metric,10.55,-12.9,90.0,top
R4,5.1k,R_0402_1005Metric,7.225,-12.9,-90.0,top
R5,10k,R_0402_1005Metric,15.8,-1.3,90.0,top
R6,10k,R_0402_1005Metric,4.21,-26.6,180.0,top
R7,10k,R_0402_1005Metric,14.3,-16.2,90.0,top
R10,10k,R_0402_1005Metric,5.1,-10.1,90.0,top
R11,100R,R_0402_1005Metric,13.57,-26.6,0.0,top
RG1,XC6206P332MR,XC6206P332MR,13.4,-10.0,90.0,top
SW1,RESET,SW_SPST_Litte_Turtle_2P,13.28,-29.975,-90.0,top
SW2,BOOT0,SW_SPST_Litte_Turtle_2P,4.5,-29.975,90.0,top
U1,AT32F415KxU7-4,AT32F4xx_QFN-32_4x4mm,8.89,-20.0,90.0,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,8.89,1.27,0.0,top
Y1,8Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,8.89,-29.6,180.0,top
