Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0402_1005Metric,8.27,-27.85,0.0,top
C2,4.7u,C_0402_1005Metric,14.1,-13.425,0.0,top
C3,100n,C_0402_1005Metric,5.8,-21.775,-90.0,top
C4,100n,C_0402_1005Metric,12.4,-12.875,90.0,top
C5,100n,C_0402_1005Metric,10.0,-21.5,180.0,top
C6,1u,C_0402_1005Metric,6.9,-21.775,90.0,top
C7,22p,C_0402_1005Metric,9.51,-23.15,0.0,top
C8,10u,C_0402_1005Metric,14.0,-7.1,0.0,top
C9,10u,C_0402_1005Metric,14.1,-12.325,180.0,top
C10,100n,C_0402_1005Metric,12.0,-21.225,0.0,top
C11,100n,C_0402_1005Metric,4.21,-21.225,180.0,top
D1,Power_LED,LED_0402_1005Metric,4.0,-14.5,180.0,top
ESD1,SRV05-4,SOT-23-6,8.89,-9.2,0.0,top
F1,1000mA,Fuse_0603_1608Metric,5.2,-9.2,-90.0,top
LED1,SK6805-EC15,LED_SK6805_EC15_1.5x1.5mm,13.95,-16.1,90.0,top
R1,22R,R_0402_1005Metric,8.325,-12.0,90.0,top
R2,22R,R_0402_1005Metric,9.425,-12.0,90.0,top
R3,5.1k,R_0402_1005Metric,10.55,-12.0,90.0,top
R4,5.1k,R_0402_1005Metric,7.225,-12.0,-90.0,top
R5,5.1k,R_0402_1005Metric,4.0,-13.45,0.0,top
R6,10k,R_0402_1005Metric,4.21,-22.325,180.0,top
R7,10k,R_0402_1005Metric,13.2,-14.5,180.0,top
R8,10k,R_0402_1005Metric,4.0,-12.35,0.0,top
R11,100R,R_0402_1005Metric,12.0,-22.325,0.0,top
RG1,XC6220B331MR,SOT-23-5_custom,13.2,-9.7,-90.0,top
SW1,RESET,SW_SPST_Little_Turtle_2P_no_silk,13.28,-25.7,-90.0,top
SW2,BOOT0,SW_SPST_Little_Turtle_2P_no_silk_reversible,4.5,-25.7,-90.0,top
U1,AT32F415KxU7-4,QFN-32_4x4mm_ThermalVias,8.89,-16.6,90.0,top
USB1,USB-C,USB-C-C168688,8.903,-3.350474,0.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,8.89,-25.5,180.0,top
