Comment,Designator,Footprint,LCSC
100n,"C10,C11,C3,C4,C5",C_0402_1005Metric,C1525
10u,"C8,C9",C_0402_1005Metric,C15525
22p,"C1,C7",C_0402_1005Metric,C1555
4.7u,C2,C_0402_1005Metric,C23733
100R,R11,R_0402_1005Metric,C25076
22R,"R1,R2",R_0402_1005Metric,C25092
10k,"R6,R7,R8",R_0402_1005Metric,C25744
5.1k,"R3,R4,R5",R_0402_1005Metric,C25905
SK6805-EC15,LED1,LED_SK6805_EC15_1.5x1.5mm,C2890035
USB-C,USB1,USB-C-C168688,C3019717
XC6220B331MR,RG1,SOT-23-5_custom,C3040644
1000mA,F1,Fuse_0603_1608Metric,C516069
AT32F415KxU7-4,U1,QFN-32_4x4mm_ThermalVias,C528424
1u,C6,C_0402_1005Metric,C52923
RESET,"SW1,SW2",SW_SPST_Little_Turtle_2P_no_silk,C720477
SRV05-4,ESD1,SOT-23-6,C85364
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
Power_LED,D1,LED_0402_1005Metric,C965794
